"complaint_text","priority"
"Successful hack on user portal system","High"
"firewall hacked via SQL injection","High"
"Unauthorized hack attempt on backup system","High"
"Security breach - firewall hacked","High"
"Security breach - API hacked","High"
"database hacked by sophisticated attackers","High"
"containers hacked via DNS poisoning","High"
"Unauthorized hack attempt on CDN","High"
"Critical hack detected in firewall","High"
"load balancer hacked and data compromised","High"
"Successful hack on CDN system","High"
"mail server hacked causing service disruption","High"
"Critical hack detected in CDN","High"
"load balancer hacked by cybercriminals","High"
"Unauthorized hack attempt on containers","High"
"web service hacked causing revenue loss","High"
"System hacked through backdoor access","High"
"database hacked via phishing","High"
"Critical hack detected in database","High"
"Successful hack on user portal system","High"
"System hacked through brute force","High"
"Critical hack detected in API","High"
"containers hacked and data compromised","High"
"file storage hacked by threat actors","High"
"mail server hacked and data compromised","High"
"web service hacked causing data loss","High"
"System hacked through privilege escalation","High"
"Unauthorized hack attempt on database","High"
"Major hack affecting mail server","High"
"Successful hack on payment gateway system","High"
"mail server hacked causing downtime","High"
"Unauthorized hack attempt on application","High"
"Unauthorized hack attempt on containers","High"
"Successful hack on API system","High"
"Critical hack detected in containers","High"
"Major hack affecting payment gateway","High"
"Critical hack detected in virtual machines","High"
"Security breach - admin panel hacked","High"
"System hacked through social engineering","High"
"admin panel hacked by APT groups","High"
"Unauthorized hack attempt on virtual machines","High"
"System hacked through brute force","High"
"System hacked through zero-day exploit","High"
"Unauthorized hack attempt on CDN","High"
"CDN hacked and data compromised","High"
"Major hack affecting API","High"
"Critical hack detected in mail server","High"
"System hacked through phishing","High"
"Unauthorized hack attempt on cloud infrastructure","High"
"virtual machines hacked causing data corruption","High"
"file storage hacked via credential stuffing","High"
"Successful hack on virtual machines system","High"
"Critical hack detected in web service","High"
"Unauthorized hack attempt on database","High"
"network hacked causing security breach","High"
"System hacked through malware","High"
"backup system hacked by threat actors","High"
"microservices hacked by external attackers","High"
"Unauthorized hack attempt on admin panel","High"
"Successful hack on admin panel system","High"
"Critical hack detected in microservices","High"
"authentication system hacked and data compromised","High"
"server hacked via privilege escalation","High"
"Major hack affecting authentication system","High"
"Successful hack on microservices system","High"
"API hacked causing data loss","High"
"network hacked by unauthorized users","High"
"Successful hack on user portal system","High"
"System hacked through zero-day exploit","High"
"System hacked through SQL injection","High"
"firewall hacked causing performance degradation","High"
"Major hack affecting user portal","High"
"Security breach - network hacked","High"
"Successful hack on cloud infrastructure system","High"
"Major hack affecting cloud infrastructure","High"
"file storage hacked causing system crash","High"
"Successful hack on mail server system","High"
"Successful hack on virtual machines system","High"
"backup system hacked via social engineering","High"
"Major hack affecting application","High"
"authentication system hacked and data compromised","High"
"database hacked via privilege escalation","High"
"authentication system hacked via brute force","High"
"web service hacked by hostile groups","High"
"authentication system hacked by sophisticated attackers","High"
"Major hack affecting server","High"
"Security breach - network hacked","High"
"Successful hack on payment gateway system","High"
"virtual machines hacked by cybercriminals","High"
"API hacked causing data corruption","High"
"containers hacked by sophisticated attackers","High"
"user portal hacked by unauthorized users","High"
"Critical hack detected in network","High"
"containers hacked by unauthorized users","High"
"containers hacked by sophisticated attackers","High"
"mail server hacked via malware","High"
"Security breach - authentication system hacked","High"
"user portal hacked via DNS poisoning","High"
"Successful hack on cloud infrastructure system","High"
"Major hack affecting virtual machines","High"
"System hacked through credential stuffing","High"
"containers hacked causing service outage","High"
"Major hack affecting cloud infrastructure","High"
"Unauthorized hack attempt on virtual machines","High"
"admin panel hacked causing data loss","High"
"payment gateway hacked via privilege escalation","High"
"mail server hacked via DNS poisoning","High"
"server hacked by hackers","High"
"file storage hacked via malware","High"
"load balancer hacked causing downtime","High"
"admin panel hacked and data compromised","High"
"Unauthorized hack attempt on payment gateway","High"
"Major hack affecting admin panel","High"
"load balancer hacked by threat actors","High"
"web service hacked causing data corruption","High"
"System hacked through privilege escalation","High"
"user portal hacked via malware","High"
"Security breach - containers hacked","High"
"Security breach - database hacked","High"
"Major hack affecting mail server","High"
"System hacked through privilege escalation","High"
"Major hack affecting authentication system","High"
"server hacked causing system crash","High"
"Unauthorized hack attempt on admin panel","High"
"System hacked through backdoor access","High"
"Security breach - API hacked","High"
"Successful hack on server system","High"
"web service hacked by sophisticated attackers","High"
"System hacked through phishing","High"
"Major hack affecting mail server","High"
"Unauthorized hack attempt on file storage","High"
"Successful hack on load balancer system","High"
"file storage hacked by malicious actors","High"
"Unauthorized hack attempt on containers","High"
"System hacked through zero-day exploit","High"
"Major hack affecting application","High"
"Unauthorized hack attempt on application","High"
"microservices hacked and data compromised","High"
"Security breach - cloud infrastructure hacked","High"
"virtual machines hacked via DNS poisoning","High"
"Unauthorized hack attempt on payment gateway","High"
"Critical hack detected in application","High"
"Critical hack detected in mail server","High"
"network hacked by APT groups","High"
"Major hack affecting payment gateway","High"
"firewall hacked and data compromised","High"
